artist,title,album,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Duncan Laurence,Arcade,Arcade,2021-03-08T16:27:51Z,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3
Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,2021-03-04T13:01:13Z,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,audio_features,3Ofmpyhv5UAQ70mENzB277,spotify:track:3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/tracks/3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/audio-analysis/3Ofmpyhv5UAQ70mENzB277,132780,4
Samuel Kim,Attack on Titan Theme,Attack on Titan: Epic Collection,2021-03-03T06:54:06Z,0.268,0.754,10,-6.871,0,0.0609,0.384,0.759,0.147,0.148,125.008,audio_features,2lFAT6fkTsV7eHVkhhlfq5,spotify:track:2lFAT6fkTsV7eHVkhhlfq5,https://api.spotify.com/v1/tracks/2lFAT6fkTsV7eHVkhhlfq5,https://api.spotify.com/v1/audio-analysis/2lFAT6fkTsV7eHVkhhlfq5,302006,4
Architects,Meteor,Meteor,2021-03-02T05:54:37Z,0.431,0.957,1,-3.071,0,0.106,0.000214,1.77e-06,0.0718,0.263,136.108,audio_features,2yAI6FssGr5WfoqU7NSmPg,spotify:track:2yAI6FssGr5WfoqU7NSmPg,https://api.spotify.com/v1/tracks/2yAI6FssGr5WfoqU7NSmPg,https://api.spotify.com/v1/audio-analysis/2yAI6FssGr5WfoqU7NSmPg,241034,4
Shayne Orok,Baka Mitai - Dame Da Ne,Baka Mitai (Dame Da Ne),2021-02-28T15:54:04Z,0.491,0.532,7,-8.8,0,0.0279,0.00281,0.233,0.301,0.451,147.887,audio_features,2ADgMO3xjBiXvNqh6ri5p3,spotify:track:2ADgMO3xjBiXvNqh6ri5p3,https://api.spotify.com/v1/tracks/2ADgMO3xjBiXvNqh6ri5p3,https://api.spotify.com/v1/audio-analysis/2ADgMO3xjBiXvNqh6ri5p3,146182,4
RADWIMPS,前前前世 - movie ver.,君の名は。,2021-02-24T17:20:59Z,0.326,0.906,11,-3.979,1,0.137,0.000482,0,0.0912,0.584,189.888,audio_features,6fmowbDHpvQ1qw7lp22Xhi,spotify:track:6fmowbDHpvQ1qw7lp22Xhi,https://api.spotify.com/v1/tracks/6fmowbDHpvQ1qw7lp22Xhi,https://api.spotify.com/v1/audio-analysis/6fmowbDHpvQ1qw7lp22Xhi,284240,4
Josh Abbott Band,Wasn't That Drunk (feat. Carly Pearce),Front Row Seat,2021-02-24T17:15:21Z,0.561,0.89,0,-5.38,0,0.0482,0.0116,1.55e-06,0.171,0.415,114.018,audio_features,0WnGvxW15RZyOvZxDYiWF4,spotify:track:0WnGvxW15RZyOvZxDYiWF4,https://api.spotify.com/v1/tracks/0WnGvxW15RZyOvZxDYiWF4,https://api.spotify.com/v1/audio-analysis/0WnGvxW15RZyOvZxDYiWF4,223451,4
Flatland Cavalry,A Life Where We Work Out (feat. Kaitlin Butts),Humble Folks,2021-02-24T17:12:07Z,0.596,0.501,3,-7.456,1,0.0263,0.14,0.000424,0.111,0.402,152.04,audio_features,7rJRYP73BI3LLFtteweC2F,spotify:track:7rJRYP73BI3LLFtteweC2F,https://api.spotify.com/v1/tracks/7rJRYP73BI3LLFtteweC2F,https://api.spotify.com/v1/audio-analysis/7rJRYP73BI3LLFtteweC2F,190267,4
Midland,Drinkin' Problem,On The Rocks,2021-02-23T15:39:26Z,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,audio_features,1vBpwxsLVwaR4evBIaFmqD,spotify:track:1vBpwxsLVwaR4evBIaFmqD,https://api.spotify.com/v1/tracks/1vBpwxsLVwaR4evBIaFmqD,https://api.spotify.com/v1/audio-analysis/1vBpwxsLVwaR4evBIaFmqD,220800,4
Central Cee,Loading,Loading,2021-02-20T18:38:24Z,0.85,0.68,3,-6.18,0,0.338,0.732,0,0.0964,0.694,144.006,audio_features,4D0GT8zWuA7Z2em6dpajAn,spotify:track:4D0GT8zWuA7Z2em6dpajAn,https://api.spotify.com/v1/tracks/4D0GT8zWuA7Z2em6dpajAn,https://api.spotify.com/v1/audio-analysis/4D0GT8zWuA7Z2em6dpajAn,173333,1
Ilaiyaraaja,"Ae Zindagi Gale Laga Le - Take, 1",Dear Zindagi (Original Motion Picture Soundtrack),2021-02-18T10:41:10Z,0.494,0.712,2,-6.605,0,0.0346,0.195,0.00028,0.108,0.386,156.059,audio_features,4TkknEEgy9mpbDtSA9ZrKV,spotify:track:4TkknEEgy9mpbDtSA9ZrKV,https://api.spotify.com/v1/tracks/4TkknEEgy9mpbDtSA9ZrKV,https://api.spotify.com/v1/audio-analysis/4TkknEEgy9mpbDtSA9ZrKV,171119,4
Mika Kobayashi,Call me later,Mika Type ろ,2021-02-14T12:10:56Z,0.577,0.418,11,-10.578,0,0.0533,0.645,0.00051,0.149,0.105,124.304,audio_features,41OeV997TPrWhqpBjnB0Mz,spotify:track:41OeV997TPrWhqpBjnB0Mz,https://api.spotify.com/v1/tracks/41OeV997TPrWhqpBjnB0Mz,https://api.spotify.com/v1/audio-analysis/41OeV997TPrWhqpBjnB0Mz,226200,3
Hiroyuki Sawano,Counter Attack-Mankind,"TV Anime ""Attack on Titan"" Original Soundtrack",2021-02-13T06:03:21Z,0.345,0.849,6,-9.816,0,0.0735,0.00658,0.875,0.36,0.185,110.009,audio_features,34o9rDFXv6bFX5qtkySnRQ,spotify:track:34o9rDFXv6bFX5qtkySnRQ,https://api.spotify.com/v1/tracks/34o9rDFXv6bFX5qtkySnRQ,https://api.spotify.com/v1/audio-analysis/34o9rDFXv6bFX5qtkySnRQ,366587,4
